Titre;Année;Justwatch;Note Austr;Note CMS;Note FA;Reco FENET;Série;Tags;Resume;note_globale;note_violence;note_sexe;note_complexite;note_language;note_drogue;age_interdit;age_recommandé;duration;scenariste;cover_url;trailer_url;realisateur;scenariste2;distributeur
Les Visiteurs;1993;;M;-;10;;Les visiteurs;Comédie|Fantastique;;;;;;;;;;;;;;;;
Les Trois Frères;1995;;-;-;12;;;Comédie;;;;;;;;;;;;;;;;
La Chèvre;1981;;M;-;12;12;;Comédie|Thriller;;;;;;;;;;;;;;;;
Fantômes contre fantômes;1996;;M;18;-;;;Fantastique|Horreur|Adolescent;;;;;;;;;;;;;;;;
Last Action Hero;1993;;M;15;12;;;Action|Comédie;;;;;;;;;;;;;;;;
Trois Amigos;1987;;PG;11;10;;;Comédie;;;;;;;;;;;;;;;;
Alien le huitième passager;1979;;;;;;Alien;Science-fiction|Horreur;;;;;;;;;;;;;;;;
Terminator 2;1991;;M;15;16;;Terminator;Action|Science-fiction;;;;;;;;;;;;;;;;
Sister Act;1992;https://www.justwatch.com/fr/film/sister-act;PG;10;7;;Sister Act;Comédie;;;;;;;;;;;;;;;;
Allo maman, ici bébé;1989;;M;13;12;;;Comédie;;;;;;;;;;;;;;;;
Mon père ce héros;1991;;PG;-;10;;;Comédie|Drame;;;;;;;;;;;;;;;;
L'Arme fatale;1987;;M;16;16;;L'Arme Fatale;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
Kickboxer;1989;;M;-;-;;;Action;;;;;;;;;;;;;;;;
Predator;1987;;M;16;14;;Predator;Action|Science-fiction;;;;;;;;;;;;;;;;
La cité de la peur;1994;;-;-;12;;;Comédie;;;;;;;;;;;;;;;;
La guerre des roses;1989;;M;-;14;;;Comédie;;;;;;;;;;;;;;;;
Titanic;1998;;M;13;12;;;Drame;;;;;;;;;;;;;;;;
Armageddon;1998;;M;13;12;;;Action|Science-fiction;;;;;;;;;;;;;;;;
Forrest Gump;1994;;M;13;12;;;Comédie|Drame;;;;;;;;;;;;;;;;
Heat;1995;;MA 15+;16;16;;;Drame|Thriller;;;;;;;;;;;;;;;;
Un jour sans fin;1993;;PG;11;10;;;Comédie|Fantastique;;;;;;;;;;;;;;;;
Le projet blair witch;1999;;MA 15+;16;16;;;Horreur;;;;;;;;;;;;;;;;
Boyz n the hood;1991;;M;17;16;;;Drame|Thriller;;;;;;;;;;;;;;;;
